"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Tallahassee, FL","45220",2021,182,145,37,0,0,0,0,77,57,42,1,0,84,0,97,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2021,182,119,61,1,1,0,0,200,64,46,1,0,94,4,81,2
"Taos, NM","45340",2021,159,153,6,0,0,0,0,69,39,21,0,0,0,0,159,0
"Terre Haute, IN","45460",2021,273,193,80,0,0,0,0,99,65,42,0,0,151,0,122,0
"Texarkana, TX-AR","45500",2021,206,169,37,0,0,0,0,79,55,36,0,0,0,0,206,0
"The Dalles, OR","45520",2021,181,178,3,0,0,0,0,54,33,15,0,0,0,0,181,0
"Toledo, OH","45780",2021,273,192,76,5,0,0,0,122,70,43,0,0,160,0,113,0
"Topeka, KS","45820",2021,181,137,44,0,0,0,0,93,64,42,0,0,108,0,73,0
"Torrington, CT","45860",2021,182,155,26,1,0,0,0,119,58,41,2,0,152,0,28,0
"Traverse City, MI","45900",2021,251,222,29,0,0,0,0,100,51,36,0,0,251,0,0,0
"Trenton, NJ","45940",2021,232,181,49,2,0,0,0,122,66,41,0,0,188,0,44,0
"Truckee-Grass Valley, CA","46020",2021,273,147,75,32,15,4,0,288,131,48,0,0,189,0,84,0
"Tucson, AZ","46060",2021,274,97,164,12,0,0,1,315,87,56,1,0,181,0,19,73
"Tulsa, OK","46140",2021,305,177,118,8,2,0,0,163,77,47,32,0,143,0,128,2
"Tupelo, MS","46180",2021,151,142,9,0,0,0,0,64,46,39,0,0,151,0,0,0
"Tuscaloosa, AL","46220",2021,204,192,12,0,0,0,0,90,46,33,0,0,156,0,48,0
"Twin Falls, ID","46300",2021,177,177,0,0,0,0,0,45,31,19,0,0,0,0,177,0
"Tyler, TX","46340",2021,208,196,12,0,0,0,0,100,48,36,0,4,204,0,0,0
"Urban Honolulu, HI","46520",2021,182,178,4,0,0,0,0,66,40,30,1,1,157,13,9,1
"Utica-Rome, NY","46540",2021,255,237,17,1,0,0,0,107,43,19,0,0,0,0,255,0
"Valdosta, GA","46660",2021,239,195,44,0,0,0,0,84,55,34,0,0,0,0,239,0
"Vallejo-Fairfield, CA","46700",2021,274,207,64,3,0,0,0,126,61,41,1,1,187,0,84,1
"Vernal, UT","46860",2021,304,169,128,6,1,0,0,156,80,49,0,0,274,0,30,0
"Victoria, TX","47020",2021,212,205,7,0,0,0,0,77,46,32,0,0,212,0,0,0
"Vincennes, IN","47180",2021,239,205,32,2,0,0,0,108,58,39,0,0,239,0,0,0
"Vineland-Bridgeton, NJ","47220",2021,180,158,20,2,0,0,0,112,54,38,0,2,158,0,20,0
"Vineyard Haven, MA","47240",2021,234,214,20,0,0,0,0,100,50,38,0,0,234,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2021,216,188,28,0,0,0,0,90,51,39,1,20,105,0,86,4
"Visalia-Porterville, CA","47300",2021,256,58,108,72,18,0,0,187,140,77,0,0,191,0,64,1
"Wabash, IN","47340",2021,241,209,31,1,0,0,0,101,51,38,0,0,241,0,0,0
"Waco, TX","47380",2021,212,184,28,0,0,0,0,93,54,37,2,0,157,0,53,0
"Walla Walla, WA","47460",2021,237,205,31,1,0,0,0,117,52,40,0,0,199,0,26,12
"Warner Robins, GA","47580",2021,237,181,52,4,0,0,0,111,64,38,0,0,0,0,237,0
"Warren, PA","47620",2021,229,221,4,4,0,0,0,139,33,9,0,0,0,229,0,0
"Washington Court House, OH","47920",2021,238,218,20,0,0,0,0,90,49,38,0,0,238,0,0,0
"Washington, IN","47780",2021,181,181,0,0,0,0,0,20,4,0,0,0,0,181,0,0
"Washington, NC","47820",2021,209,209,0,0,0,0,0,29,6,0,0,0,0,209,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2021,304,189,104,10,1,0,0,153,77,45,0,23,198,0,83,0
"Waterloo-Cedar Falls, IA","47940",2021,304,223,81,0,0,0,0,96,64,43,0,0,159,0,145,0
"Watertown, SD","47980",2021,181,141,40,0,0,0,0,95,61,37,0,0,117,0,50,14
"Watertown-Fort Atkinson, WI","48020",2021,99,78,20,1,0,0,0,101,71,40,0,0,99,0,0,0
"Watertown-Fort Drum, NY","48060",2021,214,195,19,0,0,0,0,97,49,37,0,0,214,0,0,0
"Wausau, WI","48140",2021,98,90,8,0,0,0,0,87,50,38,0,0,98,0,0,0
"Weirton-Steubenville, WV-OH","48260",2021,273,142,120,10,1,0,0,155,80,50,0,0,80,27,161,5
"Wenatchee, WA","48300",2021,181,168,13,0,0,0,0,83,46,19,0,0,0,0,181,0
"Wheeling, WV-OH","48540",2021,273,160,112,1,0,0,0,121,68,46,0,3,102,3,162,3
"Whitewater-Elkhorn, WI","48580",2021,112,88,23,1,0,0,0,101,77,41,0,0,112,0,0,0
"Wichita, KS","48620",2021,181,122,58,1,0,0,0,112,66,44,0,2,91,0,83,5
"Williamsport, PA","48700",2021,232,192,39,1,0,0,0,111,58,39,0,0,134,0,98,0
"Williston, ND","48780",2021,181,180,1,0,0,0,0,57,6,3,0,0,0,181,0,0
"Wilmington, NC","48900",2021,238,216,22,0,0,0,0,93,50,34,0,0,147,0,91,0
"Wilmington, OH","48940",2021,209,178,31,0,0,0,0,84,58,40,0,0,209,0,0,0
"Winchester, VA-WV","49020",2021,207,168,39,0,0,0,0,85,56,37,0,0,97,0,110,0
"Winston-Salem, NC","49180",2021,243,159,83,1,0,0,0,105,67,45,0,3,134,0,106,0
"Worcester, MA-CT","49340",2021,243,185,55,3,0,0,0,140,63,42,0,3,139,0,100,1
"Yakima, WA","49420",2021,181,135,46,0,0,0,0,97,66,36,0,0,0,0,175,6
"York-Hanover, PA","49620",2021,235,157,76,2,0,0,0,148,71,43,0,1,131,0,103,0
"Youngstown-Warren-Boardman, OH-PA","49660",2021,273,195,75,3,0,0,0,147,71,43,0,0,164,0,109,0
"Yuba City, CA","49700",2021,120,92,28,0,0,0,0,78,63,40,0,0,70,0,50,0
"Yuma, AZ","49740",2021,273,173,97,3,0,0,0,140,74,46,0,0,192,0,43,38
